Water [kg],Cement [kg],Sand [kg],CA [kg],smax [mm],SP [kg],Fiber type,ρf,Vf [%],df [mm],Lf [mm],fcy [MPa],w/c,s/a,a/c,Lf /df ,ρfLf /df ,Lf_df_ratio,rho_f_x_Lf_df,fiber_factor
180.0,400.0,713.8,1027.2,31.5,5.4,Hooked,1.0,0.19,0.75,60.0,44.98,0.45,0.409994256174612,4.3525,80.0,80.0,80.0,80.0,15.2
180.0,400.0,713.8,1027.2,31.5,5.8,Hooked,1.0,0.32,0.75,60.0,45.45,0.45,0.409994256174612,4.3525,80.0,80.0,80.0,80.0,25.6
180.0,400.0,713.8,1027.2,31.5,6.2,Hooked,1.0,0.45,0.75,60.0,41.13,0.45,0.409994256174612,4.3525,80.0,80.0,80.0,80.0,36.0
180.0,400.0,713.8,1027.2,31.5,6.6,Hooked,1.0,0.58,0.75,60.0,46.65,0.45,0.409994256174612,4.3525,80.0,80.0,80.0,80.0,46.4
182.0,280.0,762.6,1097.4,31.5,3.4,Hooked,1.0,0.19,0.75,60.0,29.79,0.65,0.41,6.64285714285714,80.0,80.0,80.0,80.0,15.2
182.0,280.0,762.6,1097.4,31.5,4.2,Hooked,1.0,0.32,0.75,60.0,30.08,0.65,0.41,6.64285714285714,80.0,80.0,80.0,80.0,25.6
182.0,280.0,762.6,1097.4,31.5,5.0,Hooked,1.0,0.45,0.75,60.0,29.72,0.65,0.41,6.64285714285714,80.0,80.0,80.0,80.0,36.0
182.0,280.0,762.6,1097.4,31.5,5.6,Hooked,1.0,0.58,0.75,60.0,31.03,0.65,0.41,6.64285714285714,80.0,80.0,80.0,80.0,46.4
192.5,350.0,720.8,1037.2,31.5,5.3,Hooked,1.0,0.26,0.75,60.0,39.26,0.55,0.410011376564277,5.02285714285714,80.0,80.0,80.0,80.0,20.8
192.5,350.0,720.8,1037.2,31.5,5.6,Hooked,1.0,0.38,0.75,60.0,37.86,0.55,0.410011376564277,5.02285714285714,80.0,80.0,80.0,80.0,30.4
192.5,350.0,720.8,1037.2,31.5,5.6,Hooked,1.0,0.51,0.75,60.0,39.86,0.55,0.410011376564277,5.02285714285714,80.0,80.0,80.0,80.0,40.8
192.5,350.0,720.8,1037.2,31.5,5.3,Hooked,1.0,0.32,0.9,60.0,37.5,0.55,0.410011376564277,5.02285714285714,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,21.3333333333333
192.5,350.0,720.8,1037.2,31.5,5.3,Hooked,1.0,0.45,0.9,60.0,37.98,0.55,0.410011376564277,5.02285714285714,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,30.0
192.5,350.0,720.8,1037.2,31.5,5.6,Hooked,1.0,0.58,0.9,60.0,38.38,0.55,0.410011376564277,5.02285714285714,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,38.6666666666667
192.5,350.0,720.8,1037.2,31.5,5.3,Hooked,1.0,0.38,0.55,30.0,37.27,0.55,0.410011376564277,5.02285714285714,54.5454545454545,54.5454545454545,54.5454545454545,54.5454545454545,20.7272727272727
192.5,350.0,720.8,1037.2,31.5,5.3,Hooked,1.0,0.51,0.55,30.0,36.83,0.55,0.410011376564277,5.02285714285714,54.5454545454545,54.5454545454545,54.5454545454545,54.5454545454545,27.8181818181818
