Water [kg],Cement [kg],Sand [kg],CA [kg],smax [mm],SP [kg],Fiber type,ρf,ff [MPa],Vf [%],df [mm],Lf [mm],fst [MPa],w/c,s/a,a/c,Lf /df ,ρfLf /df ,Lf_df_ratio,rho_f_x_Lf_df,fiber_factor
179.0,325.0,891.0,965.0,19,0.9,No fiber,0.0,0.0,0.0,0.0,0.0,5.5047619047619,0.550769230769231,0.480064655172414,5.71076923076923,0.0,0.0,0.0,0.0,0.0
179.0,325.0,891.0,965.0,19,0.9,Hooked,1.0,1050.0,0.33,0.75,60.0,6.16190476190476,0.550769230769231,0.480064655172414,5.71076923076923,80.0,80.0,80.0,80.0,26.4
179.0,325.0,891.0,965.0,19,0.9,Hooked,1.0,1050.0,0.67,0.75,60.0,6.31428571428571,0.550769230769231,0.480064655172414,5.71076923076923,80.0,80.0,80.0,80.0,53.6
179.0,325.0,891.0,965.0,19,0.9,Hooked,1.0,1050.0,1.0,0.75,60.0,6.34285714285714,0.550769230769231,0.480064655172414,5.71076923076923,80.0,80.0,80.0,80.0,80.0
179.0,325.0,891.0,965.0,19,0.9,Hooked,1.0,2000.0,0.33,0.71,60.0,6.25714285714286,0.550769230769231,0.480064655172414,5.71076923076923,84.5070422535211,84.5070422535211,84.5070422535211,84.5070422535211,27.887323943662
179.0,325.0,891.0,965.0,19,0.9,Hooked,1.0,2000.0,0.67,0.71,60.0,6.60952380952381,0.550769230769231,0.480064655172414,5.71076923076923,84.5070422535211,84.5070422535211,84.5070422535211,84.5070422535211,56.6197183098592
179.0,325.0,891.0,965.0,19,0.9,Hooked,1.0,2000.0,1.0,0.71,60.0,7.5047619047619,0.550769230769231,0.480064655172414,5.71076923076923,84.5070422535211,84.5070422535211,84.5070422535211,84.5070422535211,84.5070422535211
178.0,396.0,842.0,913.0,19,1.4,No fiber,0.0,0.0,0.0,0.0,0.0,5.61904761904762,0.44949494949495,0.47977207977208,4.43181818181818,0.0,0.0,0.0,0.0,0.0
178.0,396.0,842.0,913.0,19,1.4,Hooked,1.0,1050.0,0.33,0.75,60.0,6.47619047619048,0.44949494949495,0.47977207977208,4.43181818181818,80.0,80.0,80.0,80.0,26.4
178.0,396.0,842.0,913.0,19,1.4,Hooked,1.0,1050.0,0.67,0.75,60.0,6.83809523809524,0.44949494949495,0.47977207977208,4.43181818181818,80.0,80.0,80.0,80.0,53.6
178.0,396.0,842.0,913.0,19,1.4,Hooked,1.0,1050.0,1.0,0.75,60.0,7.37142857142857,0.44949494949495,0.47977207977208,4.43181818181818,80.0,80.0,80.0,80.0,80.0
178.0,396.0,842.0,913.0,19,1.4,Hooked,1.0,2000.0,0.33,0.71,60.0,6.72380952380952,0.44949494949495,0.47977207977208,4.43181818181818,84.5070422535211,84.5070422535211,84.5070422535211,84.5070422535211,27.887323943662
178.0,396.0,842.0,913.0,19,1.4,Hooked,1.0,2000.0,0.67,0.71,60.0,7.71428571428571,0.44949494949495,0.47977207977208,4.43181818181818,84.5070422535211,84.5070422535211,84.5070422535211,84.5070422535211,56.6197183098592
178.0,396.0,842.0,913.0,19,1.4,Hooked,1.0,2000.0,1.0,0.71,60.0,7.87619047619048,0.44949494949495,0.47977207977208,4.43181818181818,84.5070422535211,84.5070422535211,84.5070422535211,84.5070422535211,84.5070422535211
170.0,487.0,785.0,850.0,19,1.8,No fiber,0.0,0.0,0.0,0.0,0.0,5.74285714285714,0.349075975359343,0.480122324159021,3.35728952772074,0.0,0.0,0.0,0.0,0.0
170.0,487.0,785.0,850.0,19,1.8,Hooked,1.0,1050.0,0.33,0.75,60.0,6.87619047619048,0.349075975359343,0.480122324159021,3.35728952772074,80.0,80.0,80.0,80.0,26.4
170.0,487.0,785.0,850.0,19,1.8,Hooked,1.0,1050.0,0.67,0.75,60.0,7.39047619047619,0.349075975359343,0.480122324159021,3.35728952772074,80.0,80.0,80.0,80.0,53.6
170.0,487.0,785.0,850.0,19,1.8,Hooked,1.0,1050.0,1.0,0.75,60.0,7.66666666666667,0.349075975359343,0.480122324159021,3.35728952772074,80.0,80.0,80.0,80.0,80.0
170.0,487.0,785.0,850.0,19,1.8,Hooked,1.0,2000.0,0.33,0.71,60.0,7.31428571428571,0.349075975359343,0.480122324159021,3.35728952772074,84.5070422535211,84.5070422535211,84.5070422535211,84.5070422535211,27.887323943662
